Statistic,Week,Age Group,Sex,UNIT,VALUE,first_Monday,first_Monday_date
Persons on the Live Register,2020W13,55 - 59 years,Male,Number,9907.0,2020W13-1,2020-03-30
Persons on the Live Register,2020W13,55 - 59 years,Female,Number,8910.0,2020W13-1,2020-03-30
Persons on the Live Register,2020W13,60 years and over,Both sexes,Number,24345.0,2020W13-1,2020-03-30
Persons on the Live Register,2020W13,60 years and over,Male,Number,12423.0,2020W13-1,2020-03-30
Persons on the Live Register,2020W13,60 years and over,Female,Number,11922.0,2020W13-1,2020-03-30
Persons on the Live Register,2020W13,All ages,Both sexes,Number,205209.0,2020W13-1,2020-03-30
Persons on the Live Register,2020W13,All ages,Male,Number,113268.0,2020W13-1,2020-03-30
Persons on the Live Register,2020W13,All ages,Female,Number,91941.0,2020W13-1,2020-03-30
Persons on the Live Register,2020W14,Under 20 years,Both sexes,Number,4744.0,2020W14-1,2020-04-06
Persons on the Live Register,2020W14,Under 20 years,Male,Number,2632.0,2020W14-1,2020-04-06
Persons on the Live Register,2020W14,Under 20 years,Female,Number,2112.0,2020W14-1,2020-04-06
Persons on the Live Register,2020W14,20 - 24 years,Both sexes,Number,18877.0,2020W14-1,2020-04-06
Persons on the Live Register,2020W14,20 - 24 years,Male,Number,10593.0,2020W14-1,2020-04-06
Persons on the Live Register,2020W14,20 - 24 years,Female,Number,8284.0,2020W14-1,2020-04-06
Persons on the Live Register,2020W14,25 - 34 years,Both sexes,Number,50424.0,2020W14-1,2020-04-06
Persons on the Live Register,2020W14,25 - 34 years,Male,Number,29161.0,2020W14-1,2020-04-06
Persons on the Live Register,2020W14,25 - 34 years,Female,Number,21263.0,2020W14-1,2020-04-06
Persons on the Live Register,2020W14,35 - 44 years,Both sexes,Number,48334.0,2020W14-1,2020-04-06
Persons on the Live Register,2020W14,35 - 44 years,Male,Number,27156.0,2020W14-1,2020-04-06
Persons on the Live Register,2020W14,35 - 44 years,Female,Number,21178.0,2020W14-1,2020-04-06
Persons on the Live Register,2020W14,45 - 54 years,Both sexes,Number,41357.0,2020W14-1,2020-04-06
Persons on the Live Register,2020W14,45 - 54 years,Male,Number,22608.0,2020W14-1,2020-04-06
Persons on the Live Register,2020W14,45 - 54 years,Female,Number,18749.0,2020W14-1,2020-04-06
Persons on the Live Register,2020W14,55 - 59 years,Both sexes,Number,18984.0,2020W14-1,2020-04-06
Persons on the Live Register,2020W14,55 - 59 years,Male,Number,10005.0,2020W14-1,2020-04-06
Persons on the Live Register,2020W14,55 - 59 years,Female,Number,8979.0,2020W14-1,2020-04-06
Persons on the Live Register,2020W14,60 years and over,Both sexes,Number,24351.0,2020W14-1,2020-04-06
Persons on the Live Register,2020W14,60 years and over,Male,Number,12444.0,2020W14-1,2020-04-06
Persons on the Live Register,2020W14,60 years and over,Female,Number,11907.0,2020W14-1,2020-04-06
Persons on the Live Register,2020W14,All ages,Both sexes,Number,207071.0,2020W14-1,2020-04-06
Persons on the Live Register,2020W14,All ages,Male,Number,114599.0,2020W14-1,2020-04-06
Persons on the Live Register,2020W14,All ages,Female,Number,92472.0,2020W14-1,2020-04-06
Persons on the Live Register,2020W15,Under 20 years,Both sexes,Number,4810.0,2020W15-1,2020-04-13
Persons on the Live Register,2020W15,Under 20 years,Male,Number,2684.0,2020W15-1,2020-04-13
Persons on the Live Register,2020W15,Under 20 years,Female,Number,2126.0,2020W15-1,2020-04-13
Persons on the Live Register,2020W15,20 - 24 years,Both sexes,Number,19205.0,2020W15-1,2020-04-13
Persons on the Live Register,2020W15,20 - 24 years,Male,Number,10766.0,2020W15-1,2020-04-13
Persons on the Live Register,2020W15,20 - 24 years,Female,Number,8439.0,2020W15-1,2020-04-13
Persons on the Live Register,2020W15,25 - 34 years,Both sexes,Number,51114.0,2020W15-1,2020-04-13
Persons on the Live Register,2020W15,25 - 34 years,Male,Number,29482.0,2020W15-1,2020-04-13
Persons on the Live Register,2020W15,25 - 34 years,Female,Number,21632.0,2020W15-1,2020-04-13
Persons on the Live Register,2020W15,35 - 44 years,Both sexes,Number,48897.0,2020W15-1,2020-04-13
Persons on the Live Register,2020W15,35 - 44 years,Male,Number,27509.0,2020W15-1,2020-04-13
Persons on the Live Register,2020W15,35 - 44 years,Female,Number,21388.0,2020W15-1,2020-04-13
Persons on the Live Register,2020W15,45 - 54 years,Both sexes,Number,42060.0,2020W15-1,2020-04-13
Persons on the Live Register,2020W15,45 - 54 years,Male,Number,22869.0,2020W15-1,2020-04-13
Persons on the Live Register,2020W15,45 - 54 years,Female,Number,19191.0,2020W15-1,2020-04-13
Persons on the Live Register,2020W15,55 - 59 years,Both sexes,Number,19423.0,2020W15-1,2020-04-13
Persons on the Live Register,2020W15,55 - 59 years,Male,Number,10108.0,2020W15-1,2020-04-13
Persons on the Live Register,2020W15,55 - 59 years,Female,Number,9315.0,2020W15-1,2020-04-13
Persons on the Live Register,2020W15,60 years and over,Both sexes,Number,24675.0,2020W15-1,2020-04-13
Persons on the Live Register,2020W15,60 years and over,Male,Number,12525.0,2020W15-1,2020-04-13
Persons on the Live Register,2020W15,60 years and over,Female,Number,12150.0,2020W15-1,2020-04-13
Persons on the Live Register,2020W15,All ages,Both sexes,Number,210184.0,2020W15-1,2020-04-13
Persons on the Live Register,2020W15,All ages,Male,Number,115943.0,2020W15-1,2020-04-13
Persons on the Live Register,2020W15,All ages,Female,Number,94241.0,2020W15-1,2020-04-13
Persons on the Live Register,2020W16,Under 20 years,Both sexes,Number,4843.0,2020W16-1,2020-04-20
Persons on the Live Register,2020W16,Under 20 years,Male,Number,2699.0,2020W16-1,2020-04-20
Persons on the Live Register,2020W16,Under 20 years,Female,Number,2144.0,2020W16-1,2020-04-20
Persons on the Live Register,2020W16,20 - 24 years,Both sexes,Number,19560.0,2020W16-1,2020-04-20
Persons on the Live Register,2020W16,20 - 24 years,Male,Number,10923.0,2020W16-1,2020-04-20
Persons on the Live Register,2020W16,20 - 24 years,Female,Number,8637.0,2020W16-1,2020-04-20
Persons on the Live Register,2020W16,25 - 34 years,Both sexes,Number,51757.0,2020W16-1,2020-04-20
Persons on the Live Register,2020W16,25 - 34 years,Male,Number,29788.0,2020W16-1,2020-04-20
Persons on the Live Register,2020W16,25 - 34 years,Female,Number,21969.0,2020W16-1,2020-04-20
Persons on the Live Register,2020W16,35 - 44 years,Both sexes,Number,49314.0,2020W16-1,2020-04-20
Persons on the Live Register,2020W16,35 - 44 years,Male,Number,27745.0,2020W16-1,2020-04-20
Persons on the Live Register,2020W16,35 - 44 years,Female,Number,21569.0,2020W16-1,2020-04-20
Persons on the Live Register,2020W16,45 - 54 years,Both sexes,Number,42445.0,2020W16-1,2020-04-20
Persons on the Live Register,2020W16,45 - 54 years,Male,Number,23014.0,2020W16-1,2020-04-20
Persons on the Live Register,2020W16,45 - 54 years,Female,Number,19431.0,2020W16-1,2020-04-20
Persons on the Live Register,2020W16,55 - 59 years,Both sexes,Number,19663.0,2020W16-1,2020-04-20
Persons on the Live Register,2020W16,55 - 59 years,Male,Number,10181.0,2020W16-1,2020-04-20
Persons on the Live Register,2020W16,55 - 59 years,Female,Number,9482.0,2020W16-1,2020-04-20
Persons on the Live Register,2020W16,60 years and over,Both sexes,Number,24798.0,2020W16-1,2020-04-20
Persons on the Live Register,2020W16,60 years and over,Male,Number,12557.0,2020W16-1,2020-04-20
Persons on the Live Register,2020W16,60 years and over,Female,Number,12241.0,2020W16-1,2020-04-20
Persons on the Live Register,2020W16,All ages,Both sexes,Number,212380.0,2020W16-1,2020-04-20
Persons on the Live Register,2020W16,All ages,Male,Number,116907.0,2020W16-1,2020-04-20
Persons on the Live Register,2020W16,All ages,Female,Number,95473.0,2020W16-1,2020-04-20
Persons on the Live Register,2020W17,Under 20 years,Both sexes,Number,4979.0,2020W17-1,2020-04-27
Persons on the Live Register,2020W17,Under 20 years,Male,Number,2773.0,2020W17-1,2020-04-27
Persons on the Live Register,2020W17,Under 20 years,Female,Number,2206.0,2020W17-1,2020-04-27
Persons on the Live Register,2020W17,20 - 24 years,Both sexes,Number,20066.0,2020W17-1,2020-04-27
Persons on the Live Register,2020W17,20 - 24 years,Male,Number,11205.0,2020W17-1,2020-04-27
Persons on the Live Register,2020W17,20 - 24 years,Female,Number,8861.0,2020W17-1,2020-04-27
Persons on the Live Register,2020W17,25 - 34 years,Both sexes,Number,52271.0,2020W17-1,2020-04-27
Persons on the Live Register,2020W17,25 - 34 years,Male,Number,30181.0,2020W17-1,2020-04-27
Persons on the Live Register,2020W17,25 - 34 years,Female,Number,22090.0,2020W17-1,2020-04-27
Persons on the Live Register,2020W17,35 - 44 years,Both sexes,Number,49545.0,2020W17-1,2020-04-27
Persons on the Live Register,2020W17,35 - 44 years,Male,Number,28102.0,2020W17-1,2020-04-27
Persons on the Live Register,2020W17,35 - 44 years,Female,Number,21443.0,2020W17-1,2020-04-27
Persons on the Live Register,2020W17,45 - 54 years,Both sexes,Number,42214.0,2020W17-1,2020-04-27
Persons on the Live Register,2020W17,45 - 54 years,Male,Number,23158.0,2020W17-1,2020-04-27
Persons on the Live Register,2020W17,45 - 54 years,Female,Number,19056.0,2020W17-1,2020-04-27
Persons on the Live Register,2020W17,55 - 59 years,Both sexes,Number,19333.0,2020W17-1,2020-04-27
Persons on the Live Register,2020W17,55 - 59 years,Male,Number,10161.0,2020W17-1,2020-04-27
Persons on the Live Register,2020W17,55 - 59 years,Female,Number,9172.0,2020W17-1,2020-04-27
Persons on the Live Register,2020W17,60 years and over,Both sexes,Number,24524.0,2020W17-1,2020-04-27
Persons on the Live Register,2020W17,60 years and over,Male,Number,12487.0,2020W17-1,2020-04-27
Persons on the Live Register,2020W17,60 years and over,Female,Number,12037.0,2020W17-1,2020-04-27
Persons on the Live Register,2020W17,All ages,Both sexes,Number,212932.0,2020W17-1,2020-04-27
Persons on the Live Register,2020W17,All ages,Male,Number,118067.0,2020W17-1,2020-04-27
Persons on the Live Register,2020W17,All ages,Female,Number,94865.0,2020W17-1,2020-04-27
Persons on the Live Register,2020W18,Under 20 years,Both sexes,Number,5064.0,2020W18-1,2020-05-04
Persons on the Live Register,2020W18,Under 20 years,Male,Number,2813.0,2020W18-1,2020-05-04
Persons on the Live Register,2020W18,Under 20 years,Female,Number,2251.0,2020W18-1,2020-05-04
Persons on the Live Register,2020W18,20 - 24 years,Both sexes,Number,20534.0,2020W18-1,2020-05-04
Persons on the Live Register,2020W18,20 - 24 years,Male,Number,11468.0,2020W18-1,2020-05-04
Persons on the Live Register,2020W18,20 - 24 years,Female,Number,9066.0,2020W18-1,2020-05-04
Persons on the Live Register,2020W18,25 - 34 years,Both sexes,Number,53079.0,2020W18-1,2020-05-04
Persons on the Live Register,2020W18,25 - 34 years,Male,Number,30644.0,2020W18-1,2020-05-04
Persons on the Live Register,2020W18,25 - 34 years,Female,Number,22435.0,2020W18-1,2020-05-04
Persons on the Live Register,2020W18,35 - 44 years,Both sexes,Number,49863.0,2020W18-1,2020-05-04
Persons on the Live Register,2020W18,35 - 44 years,Male,Number,28335.0,2020W18-1,2020-05-04
Persons on the Live Register,2020W18,35 - 44 years,Female,Number,21528.0,2020W18-1,2020-05-04
Persons on the Live Register,2020W18,45 - 54 years,Both sexes,Number,42319.0,2020W18-1,2020-05-04
Persons on the Live Register,2020W18,45 - 54 years,Male,Number,23276.0,2020W18-1,2020-05-04
Persons on the Live Register,2020W18,45 - 54 years,Female,Number,19043.0,2020W18-1,2020-05-04
Persons on the Live Register,2020W18,55 - 59 years,Both sexes,Number,19351.0,2020W18-1,2020-05-04
Persons on the Live Register,2020W18,55 - 59 years,Male,Number,10192.0,2020W18-1,2020-05-04
Persons on the Live Register,2020W18,55 - 59 years,Female,Number,9159.0,2020W18-1,2020-05-04
Persons on the Live Register,2020W18,60 years and over,Both sexes,Number,24531.0,2020W18-1,2020-05-04
Persons on the Live Register,2020W18,60 years and over,Male,Number,12504.0,2020W18-1,2020-05-04
Persons on the Live Register,2020W18,60 years and over,Female,Number,12027.0,2020W18-1,2020-05-04
Persons on the Live Register,2020W18,All ages,Both sexes,Number,214741.0,2020W18-1,2020-05-04
Persons on the Live Register,2020W18,All ages,Male,Number,119232.0,2020W18-1,2020-05-04
Persons on the Live Register,2020W18,All ages,Female,Number,95509.0,2020W18-1,2020-05-04
Persons on the Live Register,2020W19,Under 20 years,Both sexes,Number,5087.0,2020W19-1,2020-05-11
Persons on the Live Register,2020W19,Under 20 years,Male,Number,2821.0,2020W19-1,2020-05-11
Persons on the Live Register,2020W19,Under 20 years,Female,Number,2266.0,2020W19-1,2020-05-11
Persons on the Live Register,2020W19,20 - 24 years,Both sexes,Number,20654.0,2020W19-1,2020-05-11
Persons on the Live Register,2020W19,20 - 24 years,Male,Number,11534.0,2020W19-1,2020-05-11
Persons on the Live Register,2020W19,20 - 24 years,Female,Number,9120.0,2020W19-1,2020-05-11
Persons on the Live Register,2020W19,25 - 34 years,Both sexes,Number,53246.0,2020W19-1,2020-05-11
Persons on the Live Register,2020W19,25 - 34 years,Male,Number,30740.0,2020W19-1,2020-05-11
Persons on the Live Register,2020W19,25 - 34 years,Female,Number,22506.0,2020W19-1,2020-05-11
Persons on the Live Register,2020W19,35 - 44 years,Both sexes,Number,49882.0,2020W19-1,2020-05-11
Persons on the Live Register,2020W19,35 - 44 years,Male,Number,28387.0,2020W19-1,2020-05-11
Persons on the Live Register,2020W19,35 - 44 years,Female,Number,21495.0,2020W19-1,2020-05-11
Persons on the Live Register,2020W19,45 - 54 years,Both sexes,Number,42277.0,2020W19-1,2020-05-11
Persons on the Live Register,2020W19,45 - 54 years,Male,Number,23273.0,2020W19-1,2020-05-11
Persons on the Live Register,2020W19,45 - 54 years,Female,Number,19004.0,2020W19-1,2020-05-11
Persons on the Live Register,2020W19,55 - 59 years,Both sexes,Number,19361.0,2020W19-1,2020-05-11
Persons on the Live Register,2020W19,55 - 59 years,Male,Number,10229.0,2020W19-1,2020-05-11
Persons on the Live Register,2020W19,55 - 59 years,Female,Number,9132.0,2020W19-1,2020-05-11
Persons on the Live Register,2020W19,60 years and over,Both sexes,Number,24479.0,2020W19-1,2020-05-11
Persons on the Live Register,2020W19,60 years and over,Male,Number,12471.0,2020W19-1,2020-05-11
Persons on the Live Register,2020W19,60 years and over,Female,Number,12008.0,2020W19-1,2020-05-11
Persons on the Live Register,2020W19,All ages,Both sexes,Number,214986.0,2020W19-1,2020-05-11
Persons on the Live Register,2020W19,All ages,Male,Number,119455.0,2020W19-1,2020-05-11
Persons on the Live Register,2020W19,All ages,Female,Number,95531.0,2020W19-1,2020-05-11
Persons on the Live Register,2020W20,Under 20 years,Both sexes,Number,5208.0,2020W20-1,2020-05-18
Persons on the Live Register,2020W20,Under 20 years,Male,Number,2861.0,2020W20-1,2020-05-18
Persons on the Live Register,2020W20,Under 20 years,Female,Number,2347.0,2020W20-1,2020-05-18
Persons on the Live Register,2020W20,20 - 24 years,Both sexes,Number,21735.0,2020W20-1,2020-05-18
Persons on the Live Register,2020W20,20 - 24 years,Male,Number,12050.0,2020W20-1,2020-05-18
Persons on the Live Register,2020W20,20 - 24 years,Female,Number,9685.0,2020W20-1,2020-05-18
Persons on the Live Register,2020W20,25 - 34 years,Both sexes,Number,55605.0,2020W20-1,2020-05-18
Persons on the Live Register,2020W20,25 - 34 years,Male,Number,31951.0,2020W20-1,2020-05-18
Persons on the Live Register,2020W20,25 - 34 years,Female,Number,23654.0,2020W20-1,2020-05-18
Persons on the Live Register,2020W20,35 - 44 years,Both sexes,Number,51062.0,2020W20-1,2020-05-18
Persons on the Live Register,2020W20,35 - 44 years,Male,Number,29038.0,2020W20-1,2020-05-18
Persons on the Live Register,2020W20,35 - 44 years,Female,Number,22024.0,2020W20-1,2020-05-18
Persons on the Live Register,2020W20,45 - 54 years,Both sexes,Number,42785.0,2020W20-1,2020-05-18
Persons on the Live Register,2020W20,45 - 54 years,Male,Number,23557.0,2020W20-1,2020-05-18
Persons on the Live Register,2020W20,45 - 54 years,Female,Number,19228.0,2020W20-1,2020-05-18
Persons on the Live Register,2020W20,55 - 59 years,Both sexes,Number,19455.0,2020W20-1,2020-05-18
Persons on the Live Register,2020W20,55 - 59 years,Male,Number,10286.0,2020W20-1,2020-05-18
Persons on the Live Register,2020W20,55 - 59 years,Female,Number,9169.0,2020W20-1,2020-05-18
Persons on the Live Register,2020W20,60 years and over,Both sexes,Number,24534.0,2020W20-1,2020-05-18
Persons on the Live Register,2020W20,60 years and over,Male,Number,12496.0,2020W20-1,2020-05-18
Persons on the Live Register,2020W20,60 years and over,Female,Number,12038.0,2020W20-1,2020-05-18
Persons on the Live Register,2020W20,All ages,Both sexes,Number,220384.0,2020W20-1,2020-05-18
Persons on the Live Register,2020W20,All ages,Male,Number,122239.0,2020W20-1,2020-05-18
Persons on the Live Register,2020W20,All ages,Female,Number,98145.0,2020W20-1,2020-05-18
Persons on the Live Register,2020W21,Under 20 years,Both sexes,Number,5254.0,2020W21-1,2020-05-25
Persons on the Live Register,2020W21,Under 20 years,Male,Number,2870.0,2020W21-1,2020-05-25
Persons on the Live Register,2020W21,Under 20 years,Female,Number,2384.0,2020W21-1,2020-05-25
Persons on the Live Register,2020W21,20 - 24 years,Both sexes,Number,22591.0,2020W21-1,2020-05-25
Persons on the Live Register,2020W21,20 - 24 years,Male,Number,12481.0,2020W21-1,2020-05-25
Persons on the Live Register,2020W21,20 - 24 years,Female,Number,10110.0,2020W21-1,2020-05-25
Persons on the Live Register,2020W21,25 - 34 years,Both sexes,Number,56557.0,2020W21-1,2020-05-25
Persons on the Live Register,2020W21,25 - 34 years,Male,Number,32442.0,2020W21-1,2020-05-25
Persons on the Live Register,2020W21,25 - 34 years,Female,Number,24115.0,2020W21-1,2020-05-25
Persons on the Live Register,2020W21,35 - 44 years,Both sexes,Number,51250.0,2020W21-1,2020-05-25
Persons on the Live Register,2020W21,35 - 44 years,Male,Number,29195.0,2020W21-1,2020-05-25
Persons on the Live Register,2020W21,35 - 44 years,Female,Number,22055.0,2020W21-1,2020-05-25
Persons on the Live Register,2020W21,45 - 54 years,Both sexes,Number,42887.0,2020W21-1,2020-05-25
Persons on the Live Register,2020W21,45 - 54 years,Male,Number,23622.0,2020W21-1,2020-05-25
Persons on the Live Register,2020W21,45 - 54 years,Female,Number,19265.0,2020W21-1,2020-05-25
Persons on the Live Register,2020W21,55 - 59 years,Both sexes,Number,19456.0,2020W21-1,2020-05-25
Persons on the Live Register,2020W21,55 - 59 years,Male,Number,10283.0,2020W21-1,2020-05-25
Persons on the Live Register,2020W21,55 - 59 years,Female,Number,9173.0,2020W21-1,2020-05-25
Persons on the Live Register,2020W21,60 years and over,Both sexes,Number,24463.0,2020W21-1,2020-05-25
Persons on the Live Register,2020W21,60 years and over,Male,Number,12448.0,2020W21-1,2020-05-25
Persons on the Live Register,2020W21,60 years and over,Female,Number,12015.0,2020W21-1,2020-05-25
Persons on the Live Register,2020W21,All ages,Both sexes,Number,222458.0,2020W21-1,2020-05-25
Persons on the Live Register,2020W21,All ages,Male,Number,123341.0,2020W21-1,2020-05-25
Persons on the Live Register,2020W21,All ages,Female,Number,99117.0,2020W21-1,2020-05-25
Persons on the Live Register,2020W22,Under 20 years,Both sexes,Number,5676.0,2020W22-1,2020-06-01
Persons on the Live Register,2020W22,Under 20 years,Male,Number,3078.0,2020W22-1,2020-06-01
Persons on the Live Register,2020W22,Under 20 years,Female,Number,2598.0,2020W22-1,2020-06-01
Persons on the Live Register,2020W22,20 - 24 years,Both sexes,Number,23941.0,2020W22-1,2020-06-01
Persons on the Live Register,2020W22,20 - 24 years,Male,Number,13200.0,2020W22-1,2020-06-01
Persons on the Live Register,2020W22,20 - 24 years,Female,Number,10741.0,2020W22-1,2020-06-01
Persons on the Live Register,2020W22,25 - 34 years,Both sexes,Number,57444.0,2020W22-1,2020-06-01
Persons on the Live Register,2020W22,25 - 34 years,Male,Number,32899.0,2020W22-1,2020-06-01
Persons on the Live Register,2020W22,25 - 34 years,Female,Number,24545.0,2020W22-1,2020-06-01
Persons on the Live Register,2020W22,35 - 44 years,Both sexes,Number,51582.0,2020W22-1,2020-06-01
Persons on the Live Register,2020W22,35 - 44 years,Male,Number,29325.0,2020W22-1,2020-06-01
Persons on the Live Register,2020W22,35 - 44 years,Female,Number,22257.0,2020W22-1,2020-06-01
Persons on the Live Register,2020W22,45 - 54 years,Both sexes,Number,43131.0,2020W22-1,2020-06-01
Persons on the Live Register,2020W22,45 - 54 years,Male,Number,23748.0,2020W22-1,2020-06-01
Persons on the Live Register,2020W22,45 - 54 years,Female,Number,19383.0,2020W22-1,2020-06-01
Persons on the Live Register,2020W22,55 - 59 years,Both sexes,Number,19460.0,2020W22-1,2020-06-01
Persons on the Live Register,2020W22,55 - 59 years,Male,Number,10279.0,2020W22-1,2020-06-01
Persons on the Live Register,2020W22,55 - 59 years,Female,Number,9181.0,2020W22-1,2020-06-01
Persons on the Live Register,2020W22,60 years and over,Both sexes,Number,24428.0,2020W22-1,2020-06-01
Persons on the Live Register,2020W22,60 years and over,Male,Number,12431.0,2020W22-1,2020-06-01
Persons on the Live Register,2020W22,60 years and over,Female,Number,11997.0,2020W22-1,2020-06-01
Persons on the Live Register,2020W22,All ages,Both sexes,Number,225662.0,2020W22-1,2020-06-01
Persons on the Live Register,2020W22,All ages,Male,Number,124960.0,2020W22-1,2020-06-01
Persons on the Live Register,2020W22,All ages,Female,Number,100702.0,2020W22-1,2020-06-01
Persons on the Live Register,2020W23,Under 20 years,Both sexes,Number,5822.0,2020W23-1,2020-06-08
Persons on the Live Register,2020W23,Under 20 years,Male,Number,3157.0,2020W23-1,2020-06-08
Persons on the Live Register,2020W23,Under 20 years,Female,Number,2665.0,2020W23-1,2020-06-08
Persons on the Live Register,2020W23,20 - 24 years,Both sexes,Number,24712.0,2020W23-1,2020-06-08
Persons on the Live Register,2020W23,20 - 24 years,Male,Number,13520.0,2020W23-1,2020-06-08
Persons on the Live Register,2020W23,20 - 24 years,Female,Number,11192.0,2020W23-1,2020-06-08
Persons on the Live Register,2020W23,25 - 34 years,Both sexes,Number,58917.0,2020W23-1,2020-06-08
Persons on the Live Register,2020W23,25 - 34 years,Male,Number,33580.0,2020W23-1,2020-06-08
Persons on the Live Register,2020W23,25 - 34 years,Female,Number,25337.0,2020W23-1,2020-06-08
Persons on the Live Register,2020W23,35 - 44 years,Both sexes,Number,53111.0,2020W23-1,2020-06-08
Persons on the Live Register,2020W23,35 - 44 years,Male,Number,30112.0,2020W23-1,2020-06-08
Persons on the Live Register,2020W23,35 - 44 years,Female,Number,22999.0,2020W23-1,2020-06-08
Persons on the Live Register,2020W23,45 - 54 years,Both sexes,Number,44037.0,2020W23-1,2020-06-08
Persons on the Live Register,2020W23,45 - 54 years,Male,Number,24167.0,2020W23-1,2020-06-08
Persons on the Live Register,2020W23,45 - 54 years,Female,Number,19870.0,2020W23-1,2020-06-08
Persons on the Live Register,2020W23,55 - 59 years,Both sexes,Number,19678.0,2020W23-1,2020-06-08
Persons on the Live Register,2020W23,55 - 59 years,Male,Number,10382.0,2020W23-1,2020-06-08
Persons on the Live Register,2020W23,55 - 59 years,Female,Number,9296.0,2020W23-1,2020-06-08
Persons on the Live Register,2020W23,60 years and over,Both sexes,Number,24545.0,2020W23-1,2020-06-08
Persons on the Live Register,2020W23,60 years and over,Male,Number,12457.0,2020W23-1,2020-06-08
Persons on the Live Register,2020W23,60 years and over,Female,Number,12088.0,2020W23-1,2020-06-08
Persons on the Live Register,2020W23,All ages,Both sexes,Number,230822.0,2020W23-1,2020-06-08
Persons on the Live Register,2020W23,All ages,Male,Number,127375.0,2020W23-1,2020-06-08
Persons on the Live Register,2020W23,All ages,Female,Number,103447.0,2020W23-1,2020-06-08
Persons on the Live Register,2020W24,Under 20 years,Both sexes,Number,5849.0,2020W24-1,2020-06-15
