Statistic,Date2,County,UNIT,VALUE,Date
Staying Local Indicator,2020 January 02,Galway,%,49,02/01/2020
Staying Local Indicator,2020 January 02,Limerick,%,55.3,02/01/2020
Staying Local Indicator,2020 January 02,Waterford,%,60,02/01/2020
Staying Local Indicator,2020 January 03,State,%,55.6,03/01/2020
Staying Local Indicator,2020 January 03,Cavan,%,50,03/01/2020
Staying Local Indicator,2020 January 03,Donegal,%,47.7,03/01/2020
Staying Local Indicator,2020 January 03,Leitrim,%,46.6,03/01/2020
Staying Local Indicator,2020 January 03,Louth,%,60.9,03/01/2020
Staying Local Indicator,2020 January 03,Monaghan,%,51.7,03/01/2020
Staying Local Indicator,2020 January 03,Sligo,%,47.6,03/01/2020
Staying Local Indicator,2020 January 03,Laois,%,48.5,03/01/2020
Staying Local Indicator,2020 January 03,Longford,%,50,03/01/2020
Staying Local Indicator,2020 January 03,Offaly,%,48.3,03/01/2020
Staying Local Indicator,2020 January 03,Westmeath,%,54.7,03/01/2020
Staying Local Indicator,2020 January 03,Mayo,%,45.3,03/01/2020
Staying Local Indicator,2020 January 03,Roscommon,%,46.2,03/01/2020
Staying Local Indicator,2020 January 03,Dublin,%,66.4,03/01/2020
Staying Local Indicator,2020 January 03,Kildare,%,49.6,03/01/2020
Staying Local Indicator,2020 January 03,Meath,%,52.2,03/01/2020
Staying Local Indicator,2020 January 03,Wicklow,%,52.2,03/01/2020
Staying Local Indicator,2020 January 03,Clare,%,48.9,03/01/2020
Staying Local Indicator,2020 January 03,Carlow,%,44.6,03/01/2020
Staying Local Indicator,2020 January 03,Kilkenny,%,52.1,03/01/2020
Staying Local Indicator,2020 January 03,Tipperary,%,48.4,03/01/2020
Staying Local Indicator,2020 January 03,Wexford,%,52.4,03/01/2020
Staying Local Indicator,2020 January 03,Kerry,%,51,03/01/2020
Staying Local Indicator,2020 January 03,Cork,%,53.9,03/01/2020
Staying Local Indicator,2020 January 03,Galway,%,48.2,03/01/2020
Staying Local Indicator,2020 January 03,Limerick,%,54.7,03/01/2020
Staying Local Indicator,2020 January 03,Waterford,%,58.6,03/01/2020
Staying Local Indicator,2020 January 04,State,%,55.8,04/01/2020
Staying Local Indicator,2020 January 04,Cavan,%,49.9,04/01/2020
Staying Local Indicator,2020 January 04,Donegal,%,47.7,04/01/2020
Staying Local Indicator,2020 January 04,Leitrim,%,46.7,04/01/2020
Staying Local Indicator,2020 January 04,Louth,%,61.2,04/01/2020
Staying Local Indicator,2020 January 04,Monaghan,%,51.3,04/01/2020
Staying Local Indicator,2020 January 04,Sligo,%,47.5,04/01/2020
Staying Local Indicator,2020 January 04,Laois,%,48.4,04/01/2020
Staying Local Indicator,2020 January 04,Longford,%,50,04/01/2020
Staying Local Indicator,2020 January 04,Offaly,%,48,04/01/2020
Staying Local Indicator,2020 January 04,Westmeath,%,54.9,04/01/2020
Staying Local Indicator,2020 January 04,Mayo,%,45.3,04/01/2020
Staying Local Indicator,2020 January 04,Roscommon,%,46.2,04/01/2020
Staying Local Indicator,2020 January 04,Dublin,%,67,04/01/2020
Staying Local Indicator,2020 January 04,Kildare,%,49.9,04/01/2020
Staying Local Indicator,2020 January 04,Meath,%,52.5,04/01/2020
Staying Local Indicator,2020 January 04,Wicklow,%,52.1,04/01/2020
Staying Local Indicator,2020 January 04,Clare,%,49,04/01/2020
Staying Local Indicator,2020 January 04,Carlow,%,44.3,04/01/2020
Staying Local Indicator,2020 January 04,Kilkenny,%,51.6,04/01/2020
Staying Local Indicator,2020 January 04,Tipperary,%,48.2,04/01/2020
Staying Local Indicator,2020 January 04,Wexford,%,52.3,04/01/2020
Staying Local Indicator,2020 January 04,Kerry,%,51.4,04/01/2020
Staying Local Indicator,2020 January 04,Cork,%,54,04/01/2020
Staying Local Indicator,2020 January 04,Galway,%,48.3,04/01/2020
Staying Local Indicator,2020 January 04,Limerick,%,54.8,04/01/2020
Staying Local Indicator,2020 January 04,Waterford,%,58.3,04/01/2020
Staying Local Indicator,2020 January 05,State,%,56.6,05/01/2020
Staying Local Indicator,2020 January 05,Cavan,%,50.8,05/01/2020
Staying Local Indicator,2020 January 05,Donegal,%,48.3,05/01/2020
Staying Local Indicator,2020 January 05,Leitrim,%,47.8,05/01/2020
Staying Local Indicator,2020 January 05,Louth,%,62,05/01/2020
Staying Local Indicator,2020 January 05,Monaghan,%,52.3,05/01/2020
Staying Local Indicator,2020 January 05,Sligo,%,48.1,05/01/2020
Staying Local Indicator,2020 January 05,Laois,%,49.4,05/01/2020
Staying Local Indicator,2020 January 05,Longford,%,50.7,05/01/2020
Staying Local Indicator,2020 January 05,Offaly,%,48.7,05/01/2020
Staying Local Indicator,2020 January 05,Westmeath,%,55.7,05/01/2020
Staying Local Indicator,2020 January 05,Mayo,%,46.2,05/01/2020
Staying Local Indicator,2020 January 05,Roscommon,%,47,05/01/2020
Staying Local Indicator,2020 January 05,Dublin,%,67.9,05/01/2020
Staying Local Indicator,2020 January 05,Kildare,%,51.1,05/01/2020
Staying Local Indicator,2020 January 05,Meath,%,53.6,05/01/2020
Staying Local Indicator,2020 January 05,Wicklow,%,53.5,05/01/2020
Staying Local Indicator,2020 January 05,Clare,%,49.8,05/01/2020
Staying Local Indicator,2020 January 05,Carlow,%,45.2,05/01/2020
Staying Local Indicator,2020 January 05,Kilkenny,%,52.3,05/01/2020
Staying Local Indicator,2020 January 05,Tipperary,%,48.9,05/01/2020
Staying Local Indicator,2020 January 05,Wexford,%,53.1,05/01/2020
Staying Local Indicator,2020 January 05,Kerry,%,52,05/01/2020
Staying Local Indicator,2020 January 05,Cork,%,54.9,05/01/2020
Staying Local Indicator,2020 January 05,Galway,%,49.2,05/01/2020
Staying Local Indicator,2020 January 05,Limerick,%,55.6,05/01/2020
Staying Local Indicator,2020 January 05,Waterford,%,59,05/01/2020
Staying Local Indicator,2020 January 06,State,%,56.7,06/01/2020
Staying Local Indicator,2020 January 06,Cavan,%,50.1,06/01/2020
Staying Local Indicator,2020 January 06,Donegal,%,48.2,06/01/2020
Staying Local Indicator,2020 January 06,Leitrim,%,47.4,06/01/2020
Staying Local Indicator,2020 January 06,Louth,%,61.6,06/01/2020
Staying Local Indicator,2020 January 06,Monaghan,%,51.7,06/01/2020
Staying Local Indicator,2020 January 06,Sligo,%,48.2,06/01/2020
Staying Local Indicator,2020 January 06,Laois,%,49.1,06/01/2020
Staying Local Indicator,2020 January 06,Longford,%,50.5,06/01/2020
Staying Local Indicator,2020 January 06,Offaly,%,48.3,06/01/2020
Staying Local Indicator,2020 January 06,Westmeath,%,55.4,06/01/2020
Staying Local Indicator,2020 January 06,Mayo,%,46,06/01/2020
Staying Local Indicator,2020 January 06,Roscommon,%,46.8,06/01/2020
Staying Local Indicator,2020 January 06,Dublin,%,68.6,06/01/2020
Staying Local Indicator,2020 January 06,Kildare,%,50.8,06/01/2020
Staying Local Indicator,2020 January 06,Meath,%,52.9,06/01/2020
Staying Local Indicator,2020 January 06,Wicklow,%,53,06/01/2020
Staying Local Indicator,2020 January 06,Clare,%,49.7,06/01/2020
Staying Local Indicator,2020 January 06,Carlow,%,45.2,06/01/2020
Staying Local Indicator,2020 January 06,Kilkenny,%,52.3,06/01/2020
Staying Local Indicator,2020 January 06,Tipperary,%,48.8,06/01/2020
Staying Local Indicator,2020 January 06,Wexford,%,52.5,06/01/2020
Staying Local Indicator,2020 January 06,Kerry,%,51.9,06/01/2020
Staying Local Indicator,2020 January 06,Cork,%,55,06/01/2020
Staying Local Indicator,2020 January 06,Galway,%,49.3,06/01/2020
Staying Local Indicator,2020 January 06,Limerick,%,55.7,06/01/2020
Staying Local Indicator,2020 January 06,Waterford,%,59.1,06/01/2020
Staying Local Indicator,2020 January 07,State,%,56.7,07/01/2020
Staying Local Indicator,2020 January 07,Cavan,%,49.7,07/01/2020
Staying Local Indicator,2020 January 07,Donegal,%,48.1,07/01/2020
Staying Local Indicator,2020 January 07,Leitrim,%,47,07/01/2020
Staying Local Indicator,2020 January 07,Louth,%,61.2,07/01/2020
Staying Local Indicator,2020 January 07,Monaghan,%,51.4,07/01/2020
Staying Local Indicator,2020 January 07,Sligo,%,48.4,07/01/2020
Staying Local Indicator,2020 January 07,Laois,%,48.9,07/01/2020
Staying Local Indicator,2020 January 07,Longford,%,50.1,07/01/2020
Staying Local Indicator,2020 January 07,Offaly,%,47.9,07/01/2020
Staying Local Indicator,2020 January 07,Westmeath,%,55,07/01/2020
Staying Local Indicator,2020 January 07,Mayo,%,45.9,07/01/2020
Staying Local Indicator,2020 January 07,Roscommon,%,46.3,07/01/2020
Staying Local Indicator,2020 January 07,Dublin,%,69,07/01/2020
Staying Local Indicator,2020 January 07,Kildare,%,50.4,07/01/2020
Staying Local Indicator,2020 January 07,Meath,%,52.4,07/01/2020
Staying Local Indicator,2020 January 07,Wicklow,%,52.5,07/01/2020
Staying Local Indicator,2020 January 07,Clare,%,49.6,07/01/2020
Staying Local Indicator,2020 January 07,Carlow,%,45.2,07/01/2020
Staying Local Indicator,2020 January 07,Kilkenny,%,52.2,07/01/2020
Staying Local Indicator,2020 January 07,Tipperary,%,48.6,07/01/2020
Staying Local Indicator,2020 January 07,Wexford,%,51.9,07/01/2020
Staying Local Indicator,2020 January 07,Kerry,%,51.8,07/01/2020
Staying Local Indicator,2020 January 07,Cork,%,55.1,07/01/2020
Staying Local Indicator,2020 January 07,Galway,%,49.5,07/01/2020
Staying Local Indicator,2020 January 07,Limerick,%,55.7,07/01/2020
Staying Local Indicator,2020 January 07,Waterford,%,59.2,07/01/2020
Staying Local Indicator,2020 January 08,State,%,56.6,08/01/2020
Staying Local Indicator,2020 January 08,Cavan,%,48.6,08/01/2020
Staying Local Indicator,2020 January 08,Donegal,%,47.6,08/01/2020
Staying Local Indicator,2020 January 08,Leitrim,%,46.3,08/01/2020
Staying Local Indicator,2020 January 08,Louth,%,60.3,08/01/2020
Staying Local Indicator,2020 January 08,Monaghan,%,50.2,08/01/2020
Staying Local Indicator,2020 January 08,Sligo,%,48.4,08/01/2020
Staying Local Indicator,2020 January 08,Laois,%,48.3,08/01/2020
Staying Local Indicator,2020 January 08,Longford,%,49.3,08/01/2020
Staying Local Indicator,2020 January 08,Offaly,%,47,08/01/2020
Staying Local Indicator,2020 January 08,Westmeath,%,54.2,08/01/2020
Staying Local Indicator,2020 January 08,Mayo,%,45.6,08/01/2020
Staying Local Indicator,2020 January 08,Roscommon,%,45.7,08/01/2020
Staying Local Indicator,2020 January 08,Dublin,%,69.8,08/01/2020
Staying Local Indicator,2020 January 08,Kildare,%,49.5,08/01/2020
Staying Local Indicator,2020 January 08,Meath,%,51.1,08/01/2020
Staying Local Indicator,2020 January 08,Wicklow,%,51.2,08/01/2020
Staying Local Indicator,2020 January 08,Clare,%,49.2,08/01/2020
Staying Local Indicator,2020 January 08,Carlow,%,44.8,08/01/2020
Staying Local Indicator,2020 January 08,Kilkenny,%,51.7,08/01/2020
Staying Local Indicator,2020 January 08,Tipperary,%,47.9,08/01/2020
Staying Local Indicator,2020 January 08,Wexford,%,50.8,08/01/2020
Staying Local Indicator,2020 January 08,Kerry,%,51.6,08/01/2020
Staying Local Indicator,2020 January 08,Cork,%,55,08/01/2020
Staying Local Indicator,2020 January 08,Galway,%,49.5,08/01/2020
Staying Local Indicator,2020 January 08,Limerick,%,55.8,08/01/2020
Staying Local Indicator,2020 January 08,Waterford,%,58.8,08/01/2020
Staying Local Indicator,2020 January 09,State,%,56.5,09/01/2020
Staying Local Indicator,2020 January 09,Cavan,%,47.9,09/01/2020
Staying Local Indicator,2020 January 09,Donegal,%,47.2,09/01/2020
Staying Local Indicator,2020 January 09,Leitrim,%,45.9,09/01/2020
Staying Local Indicator,2020 January 09,Louth,%,59.9,09/01/2020
Staying Local Indicator,2020 January 09,Monaghan,%,49.6,09/01/2020
Staying Local Indicator,2020 January 09,Sligo,%,48.1,09/01/2020
Staying Local Indicator,2020 January 09,Laois,%,47.9,09/01/2020
Staying Local Indicator,2020 January 09,Longford,%,48.9,09/01/2020
Staying Local Indicator,2020 January 09,Offaly,%,46.7,09/01/2020
Staying Local Indicator,2020 January 09,Westmeath,%,53.8,09/01/2020
Staying Local Indicator,2020 January 09,Mayo,%,45.4,09/01/2020
Staying Local Indicator,2020 January 09,Roscommon,%,45.4,09/01/2020
Staying Local Indicator,2020 January 09,Dublin,%,70.3,09/01/2020
Staying Local Indicator,2020 January 09,Kildare,%,49.3,09/01/2020
Staying Local Indicator,2020 January 09,Meath,%,50.6,09/01/2020
Staying Local Indicator,2020 January 09,Wicklow,%,50.8,09/01/2020
Staying Local Indicator,2020 January 09,Clare,%,49,09/01/2020
Staying Local Indicator,2020 January 09,Carlow,%,44.4,09/01/2020
Staying Local Indicator,2020 January 09,Kilkenny,%,51.2,09/01/2020
Staying Local Indicator,2020 January 09,Tipperary,%,47.6,09/01/2020
Staying Local Indicator,2020 January 09,Wexford,%,50,09/01/2020
Staying Local Indicator,2020 January 09,Kerry,%,51.4,09/01/2020
Staying Local Indicator,2020 January 09,Cork,%,55,09/01/2020
Staying Local Indicator,2020 January 09,Galway,%,49.7,09/01/2020
Staying Local Indicator,2020 January 09,Limerick,%,55.9,09/01/2020
Staying Local Indicator,2020 January 09,Waterford,%,58.6,09/01/2020
Staying Local Indicator,2020 January 10,State,%,56.5,10/01/2020
Staying Local Indicator,2020 January 10,Cavan,%,47.5,10/01/2020
Staying Local Indicator,2020 January 10,Donegal,%,47,10/01/2020
Staying Local Indicator,2020 January 10,Leitrim,%,45.7,10/01/2020
Staying Local Indicator,2020 January 10,Louth,%,59.6,10/01/2020
Staying Local Indicator,2020 January 10,Monaghan,%,49.3,10/01/2020
Staying Local Indicator,2020 January 10,Sligo,%,48.1,10/01/2020
Staying Local Indicator,2020 January 10,Laois,%,47.8,10/01/2020
Staying Local Indicator,2020 January 10,Longford,%,48.6,10/01/2020
Staying Local Indicator,2020 January 10,Offaly,%,46.4,10/01/2020
Staying Local Indicator,2020 January 10,Westmeath,%,53.6,10/01/2020
Staying Local Indicator,2020 January 10,Mayo,%,45.2,10/01/2020
Staying Local Indicator,2020 January 10,Roscommon,%,45.3,10/01/2020
Staying Local Indicator,2020 January 10,Dublin,%,70.6,10/01/2020
Staying Local Indicator,2020 January 10,Kildare,%,49.1,10/01/2020
Staying Local Indicator,2020 January 10,Meath,%,50.2,10/01/2020
Staying Local Indicator,2020 January 10,Wicklow,%,50.5,10/01/2020
Staying Local Indicator,2020 January 10,Clare,%,48.8,10/01/2020
Staying Local Indicator,2020 January 10,Carlow,%,44.2,10/01/2020
Staying Local Indicator,2020 January 10,Kilkenny,%,51,10/01/2020
Staying Local Indicator,2020 January 10,Tipperary,%,47.5,10/01/2020
Staying Local Indicator,2020 January 10,Wexford,%,49.5,10/01/2020
Staying Local Indicator,2020 January 10,Kerry,%,51.5,10/01/2020
Staying Local Indicator,2020 January 10,Cork,%,55.1,10/01/2020
Staying Local Indicator,2020 January 10,Galway,%,49.9,10/01/2020
Staying Local Indicator,2020 January 10,Limerick,%,55.9,10/01/2020
Staying Local Indicator,2020 January 10,Waterford,%,58.6,10/01/2020
Staying Local Indicator,2020 January 11,State,%,56.7,11/01/2020
Staying Local Indicator,2020 January 11,Cavan,%,47.6,11/01/2020
Staying Local Indicator,2020 January 11,Donegal,%,46.9,11/01/2020
Staying Local Indicator,2020 January 11,Leitrim,%,45.6,11/01/2020
Staying Local Indicator,2020 January 11,Louth,%,59.6,11/01/2020
Staying Local Indicator,2020 January 11,Monaghan,%,49.3,11/01/2020
Staying Local Indicator,2020 January 11,Sligo,%,48.3,11/01/2020
Staying Local Indicator,2020 January 11,Laois,%,48,11/01/2020
Staying Local Indicator,2020 January 11,Longford,%,48.8,11/01/2020
Staying Local Indicator,2020 January 11,Offaly,%,46.5,11/01/2020
Staying Local Indicator,2020 January 11,Westmeath,%,53.6,11/01/2020
Staying Local Indicator,2020 January 11,Mayo,%,45.3,11/01/2020
Staying Local Indicator,2020 January 11,Roscommon,%,45.4,11/01/2020
Staying Local Indicator,2020 January 11,Dublin,%,70.9,11/01/2020
Staying Local Indicator,2020 January 11,Kildare,%,49.3,11/01/2020
Staying Local Indicator,2020 January 11,Meath,%,50.2,11/01/2020
Staying Local Indicator,2020 January 11,Wicklow,%,50.8,11/01/2020
Staying Local Indicator,2020 January 11,Clare,%,48.8,11/01/2020
Staying Local Indicator,2020 January 11,Carlow,%,44.5,11/01/2020
Staying Local Indicator,2020 January 11,Kilkenny,%,51.4,11/01/2020
Staying Local Indicator,2020 January 11,Tipperary,%,47.7,11/01/2020
Staying Local Indicator,2020 January 11,Wexford,%,49.6,11/01/2020
Staying Local Indicator,2020 January 11,Kerry,%,51.7,11/01/2020
Staying Local Indicator,2020 January 11,Cork,%,55.4,11/01/2020
Staying Local Indicator,2020 January 11,Galway,%,49.9,11/01/2020
Staying Local Indicator,2020 January 11,Limerick,%,56.1,11/01/2020
Staying Local Indicator,2020 January 11,Waterford,%,59,11/01/2020
Staying Local Indicator,2020 January 12,State,%,56.6,12/01/2020
Staying Local Indicator,2020 January 12,Cavan,%,47.4,12/01/2020
Staying Local Indicator,2020 January 12,Donegal,%,46.9,12/01/2020
Staying Local Indicator,2020 January 12,Leitrim,%,45.2,12/01/2020
Staying Local Indicator,2020 January 12,Louth,%,59.2,12/01/2020
Staying Local Indicator,2020 January 12,Monaghan,%,49.2,12/01/2020
Staying Local Indicator,2020 January 12,Sligo,%,48.2,12/01/2020
Staying Local Indicator,2020 January 12,Laois,%,48,12/01/2020
Staying Local Indicator,2020 January 12,Longford,%,48.6,12/01/2020
Staying Local Indicator,2020 January 12,Offaly,%,46.4,12/01/2020
Staying Local Indicator,2020 January 12,Westmeath,%,53.6,12/01/2020
Staying Local Indicator,2020 January 12,Mayo,%,45.1,12/01/2020
Staying Local Indicator,2020 January 12,Roscommon,%,45.4,12/01/2020
Staying Local Indicator,2020 January 12,Dublin,%,70.9,12/01/2020
Staying Local Indicator,2020 January 12,Kildare,%,49.2,12/01/2020
Staying Local Indicator,2020 January 12,Meath,%,50.1,12/01/2020
Staying Local Indicator,2020 January 12,Wicklow,%,50.5,12/01/2020
Staying Local Indicator,2020 January 12,Clare,%,48.8,12/01/2020
Staying Local Indicator,2020 January 12,Carlow,%,44.2,12/01/2020
Staying Local Indicator,2020 January 12,Kilkenny,%,51.1,12/01/2020
Staying Local Indicator,2020 January 12,Tipperary,%,47.5,12/01/2020
Staying Local Indicator,2020 January 12,Wexford,%,49.3,12/01/2020
Staying Local Indicator,2020 January 12,Kerry,%,51.7,12/01/2020
Staying Local Indicator,2020 January 12,Cork,%,55.2,12/01/2020
Staying Local Indicator,2020 January 12,Galway,%,49.6,12/01/2020
Staying Local Indicator,2020 January 12,Limerick,%,56.1,12/01/2020
Staying Local Indicator,2020 January 12,Waterford,%,58.7,12/01/2020
Staying Local Indicator,2020 January 13,State,%,56.9,13/01/2020
Staying Local Indicator,2020 January 13,Cavan,%,47.6,13/01/2020
Staying Local Indicator,2020 January 13,Donegal,%,47.3,13/01/2020
Staying Local Indicator,2020 January 13,Leitrim,%,45.2,13/01/2020
Staying Local Indicator,2020 January 13,Louth,%,59.3,13/01/2020
Staying Local Indicator,2020 January 13,Monaghan,%,49.2,13/01/2020
Staying Local Indicator,2020 January 13,Sligo,%,48.4,13/01/2020
Staying Local Indicator,2020 January 13,Laois,%,48.2,13/01/2020
Staying Local Indicator,2020 January 13,Longford,%,48.8,13/01/2020
Staying Local Indicator,2020 January 13,Offaly,%,46.8,13/01/2020
Staying Local Indicator,2020 January 13,Westmeath,%,54,13/01/2020
Staying Local Indicator,2020 January 13,Mayo,%,45.7,13/01/2020
Staying Local Indicator,2020 January 13,Roscommon,%,45.7,13/01/2020
Staying Local Indicator,2020 January 13,Dublin,%,71.1,13/01/2020
Staying Local Indicator,2020 January 13,Kildare,%,49.4,13/01/2020
Staying Local Indicator,2020 January 13,Meath,%,50.3,13/01/2020
Staying Local Indicator,2020 January 13,Wicklow,%,50.7,13/01/2020
Staying Local Indicator,2020 January 13,Clare,%,49,13/01/2020
Staying Local Indicator,2020 January 13,Carlow,%,44.4,13/01/2020
Staying Local Indicator,2020 January 13,Kilkenny,%,51.3,13/01/2020
Staying Local Indicator,2020 January 13,Tipperary,%,47.9,13/01/2020
Staying Local Indicator,2020 January 13,Wexford,%,49.6,13/01/2020
Staying Local Indicator,2020 January 13,Kerry,%,52.2,13/01/2020
Staying Local Indicator,2020 January 13,Cork,%,55.6,13/01/2020
Staying Local Indicator,2020 January 13,Galway,%,50.4,13/01/2020
Staying Local Indicator,2020 January 13,Limerick,%,56.4,13/01/2020
Staying Local Indicator,2020 January 13,Waterford,%,58.9,13/01/2020
Staying Local Indicator,2020 January 14,State,%,56.9,14/01/2020
Staying Local Indicator,2020 January 14,Cavan,%,47.5,14/01/2020
Staying Local Indicator,2020 January 14,Donegal,%,47.1,14/01/2020
Staying Local Indicator,2020 January 14,Leitrim,%,45,14/01/2020
Staying Local Indicator,2020 January 14,Louth,%,59.3,14/01/2020
Staying Local Indicator,2020 January 14,Monaghan,%,49.1,14/01/2020
Staying Local Indicator,2020 January 14,Sligo,%,48.3,14/01/2020
Staying Local Indicator,2020 January 14,Laois,%,48,14/01/2020
Staying Local Indicator,2020 January 14,Longford,%,48.8,14/01/2020
Staying Local Indicator,2020 January 14,Offaly,%,46.8,14/01/2020
Staying Local Indicator,2020 January 14,Westmeath,%,54.1,14/01/2020
Staying Local Indicator,2020 January 14,Mayo,%,45.7,14/01/2020
Staying Local Indicator,2020 January 14,Roscommon,%,45.9,14/01/2020
Staying Local Indicator,2020 January 14,Dublin,%,71.1,14/01/2020
Staying Local Indicator,2020 January 14,Kildare,%,49.3,14/01/2020
Staying Local Indicator,2020 January 14,Meath,%,50.1,14/01/2020
Staying Local Indicator,2020 January 14,Wicklow,%,50.4,14/01/2020
Staying Local Indicator,2020 January 14,Clare,%,48.9,14/01/2020
Staying Local Indicator,2020 January 14,Carlow,%,44.3,14/01/2020
Staying Local Indicator,2020 January 14,Kilkenny,%,51.3,14/01/2020
Staying Local Indicator,2020 January 14,Tipperary,%,47.7,14/01/2020
Staying Local Indicator,2020 January 14,Wexford,%,49.6,14/01/2020
Staying Local Indicator,2020 January 14,Kerry,%,52.3,14/01/2020
Staying Local Indicator,2020 January 14,Cork,%,55.7,14/01/2020
Staying Local Indicator,2020 January 14,Galway,%,50.6,14/01/2020
Staying Local Indicator,2020 January 14,Limerick,%,56.5,14/01/2020
Staying Local Indicator,2020 January 14,Waterford,%,58.9,14/01/2020
Staying Local Indicator,2020 January 15,State,%,56.9,15/01/2020
Staying Local Indicator,2020 January 15,Cavan,%,47.5,15/01/2020
Staying Local Indicator,2020 January 15,Donegal,%,46.9,15/01/2020
Staying Local Indicator,2020 January 15,Leitrim,%,45,15/01/2020
Staying Local Indicator,2020 January 15,Louth,%,59.4,15/01/2020
Staying Local Indicator,2020 January 15,Monaghan,%,49.2,15/01/2020
Staying Local Indicator,2020 January 15,Sligo,%,48.4,15/01/2020
Staying Local Indicator,2020 January 15,Laois,%,47.9,15/01/2020
Staying Local Indicator,2020 January 15,Longford,%,48.9,15/01/2020
Staying Local Indicator,2020 January 15,Offaly,%,46.7,15/01/2020
Staying Local Indicator,2020 January 15,Westmeath,%,54.2,15/01/2020
Staying Local Indicator,2020 January 15,Mayo,%,45.7,15/01/2020
Staying Local Indicator,2020 January 15,Roscommon,%,45.9,15/01/2020
Staying Local Indicator,2020 January 15,Dublin,%,71.1,15/01/2020
Staying Local Indicator,2020 January 15,Kildare,%,49.1,15/01/2020
Staying Local Indicator,2020 January 15,Meath,%,50,15/01/2020
Staying Local Indicator,2020 January 15,Wicklow,%,50.2,15/01/2020
Staying Local Indicator,2020 January 15,Clare,%,48.8,15/01/2020
Staying Local Indicator,2020 January 15,Carlow,%,44.3,15/01/2020
Staying Local Indicator,2020 January 15,Kilkenny,%,51.1,15/01/2020
Staying Local Indicator,2020 January 15,Tipperary,%,47.6,15/01/2020
Staying Local Indicator,2020 January 15,Wexford,%,49.5,15/01/2020
Staying Local Indicator,2020 January 15,Kerry,%,52.3,15/01/2020
