"Statistic","Week","Age Group","Sex","UNIT","VALUE"
"Persons on the Live Register","2020W14","35 - 44 years","Female","Number","21178"
"Persons on the Live Register","2020W14","45 - 54 years","Both sexes","Number","41357"
"Persons on the Live Register","2020W14","45 - 54 years","Male","Number","22608"
"Persons on the Live Register","2020W14","45 - 54 years","Female","Number","18749"
"Persons on the Live Register","2020W14","55 - 59 years","Both sexes","Number","18984"
"Persons on the Live Register","2020W14","55 - 59 years","Male","Number","10005"
"Persons on the Live Register","2020W14","55 - 59 years","Female","Number","8979"
"Persons on the Live Register","2020W14","60 years and over","Both sexes","Number","24351"
"Persons on the Live Register","2020W14","60 years and over","Male","Number","12444"
"Persons on the Live Register","2020W14","60 years and over","Female","Number","11907"
"Persons on the Live Register","2020W14","All ages","Both sexes","Number","207071"
"Persons on the Live Register","2020W14","All ages","Male","Number","114599"
"Persons on the Live Register","2020W14","All ages","Female","Number","92472"
"Persons on the Live Register","2020W15","Under 20 years","Both sexes","Number","4810"
"Persons on the Live Register","2020W15","Under 20 years","Male","Number","2684"
"Persons on the Live Register","2020W15","Under 20 years","Female","Number","2126"
"Persons on the Live Register","2020W15","20 - 24 years","Both sexes","Number","19205"
"Persons on the Live Register","2020W15","20 - 24 years","Male","Number","10766"
"Persons on the Live Register","2020W15","20 - 24 years","Female","Number","8439"
"Persons on the Live Register","2020W15","25 - 34 years","Both sexes","Number","51114"
"Persons on the Live Register","2020W15","25 - 34 years","Male","Number","29482"
"Persons on the Live Register","2020W15","25 - 34 years","Female","Number","21632"
"Persons on the Live Register","2020W15","35 - 44 years","Both sexes","Number","48897"
"Persons on the Live Register","2020W15","35 - 44 years","Male","Number","27509"
"Persons on the Live Register","2020W15","35 - 44 years","Female","Number","21388"
"Persons on the Live Register","2020W15","45 - 54 years","Both sexes","Number","42060"
"Persons on the Live Register","2020W15","45 - 54 years","Male","Number","22869"
"Persons on the Live Register","2020W15","45 - 54 years","Female","Number","19191"
"Persons on the Live Register","2020W15","55 - 59 years","Both sexes","Number","19423"
"Persons on the Live Register","2020W15","55 - 59 years","Male","Number","10108"
"Persons on the Live Register","2020W15","55 - 59 years","Female","Number","9315"
"Persons on the Live Register","2020W15","60 years and over","Both sexes","Number","24675"
"Persons on the Live Register","2020W15","60 years and over","Male","Number","12525"
"Persons on the Live Register","2020W15","60 years and over","Female","Number","12150"
"Persons on the Live Register","2020W15","All ages","Both sexes","Number","210184"
"Persons on the Live Register","2020W15","All ages","Male","Number","115943"
"Persons on the Live Register","2020W15","All ages","Female","Number","94241"
"Persons on the Live Register","2020W16","Under 20 years","Both sexes","Number","4843"
"Persons on the Live Register","2020W16","Under 20 years","Male","Number","2699"
"Persons on the Live Register","2020W16","Under 20 years","Female","Number","2144"
"Persons on the Live Register","2020W16","20 - 24 years","Both sexes","Number","19560"
"Persons on the Live Register","2020W16","20 - 24 years","Male","Number","10923"
"Persons on the Live Register","2020W16","20 - 24 years","Female","Number","8637"
"Persons on the Live Register","2020W16","25 - 34 years","Both sexes","Number","51757"
"Persons on the Live Register","2020W16","25 - 34 years","Male","Number","29788"
"Persons on the Live Register","2020W16","25 - 34 years","Female","Number","21969"
"Persons on the Live Register","2020W16","35 - 44 years","Both sexes","Number","49314"
"Persons on the Live Register","2020W16","35 - 44 years","Male","Number","27745"
"Persons on the Live Register","2020W16","35 - 44 years","Female","Number","21569"
"Persons on the Live Register","2020W16","45 - 54 years","Both sexes","Number","42445"
"Persons on the Live Register","2020W16","45 - 54 years","Male","Number","23014"
"Persons on the Live Register","2020W16","45 - 54 years","Female","Number","19431"
"Persons on the Live Register","2020W16","55 - 59 years","Both sexes","Number","19663"
"Persons on the Live Register","2020W16","55 - 59 years","Male","Number","10181"
"Persons on the Live Register","2020W16","55 - 59 years","Female","Number","9482"
"Persons on the Live Register","2020W16","60 years and over","Both sexes","Number","24798"
"Persons on the Live Register","2020W16","60 years and over","Male","Number","12557"
"Persons on the Live Register","2020W16","60 years and over","Female","Number","12241"
"Persons on the Live Register","2020W16","All ages","Both sexes","Number","212380"
"Persons on the Live Register","2020W16","All ages","Male","Number","116907"
"Persons on the Live Register","2020W16","All ages","Female","Number","95473"
"Persons on the Live Register","2020W17","Under 20 years","Both sexes","Number","4979"
"Persons on the Live Register","2020W17","Under 20 years","Male","Number","2773"
"Persons on the Live Register","2020W17","Under 20 years","Female","Number","2206"
"Persons on the Live Register","2020W17","20 - 24 years","Both sexes","Number","20066"
"Persons on the Live Register","2020W17","20 - 24 years","Male","Number","11205"
"Persons on the Live Register","2020W17","20 - 24 years","Female","Number","8861"
"Persons on the Live Register","2020W17","25 - 34 years","Both sexes","Number","52271"
"Persons on the Live Register","2020W17","25 - 34 years","Male","Number","30181"
"Persons on the Live Register","2020W17","25 - 34 years","Female","Number","22090"
"Persons on the Live Register","2020W17","35 - 44 years","Both sexes","Number","49545"
"Persons on the Live Register","2020W17","35 - 44 years","Male","Number","28102"
"Persons on the Live Register","2020W17","35 - 44 years","Female","Number","21443"
"Persons on the Live Register","2020W17","45 - 54 years","Both sexes","Number","42214"
"Persons on the Live Register","2020W17","45 - 54 years","Male","Number","23158"
"Persons on the Live Register","2020W17","45 - 54 years","Female","Number","19056"
"Persons on the Live Register","2020W17","55 - 59 years","Both sexes","Number","19333"
"Persons on the Live Register","2020W17","55 - 59 years","Male","Number","10161"
"Persons on the Live Register","2020W17","55 - 59 years","Female","Number","9172"
"Persons on the Live Register","2020W17","60 years and over","Both sexes","Number","24524"
"Persons on the Live Register","2020W17","60 years and over","Male","Number","12487"
"Persons on the Live Register","2020W17","60 years and over","Female","Number","12037"
"Persons on the Live Register","2020W17","All ages","Both sexes","Number","212932"
"Persons on the Live Register","2020W17","All ages","Male","Number","118067"
"Persons on the Live Register","2020W17","All ages","Female","Number","94865"
"Persons on the Live Register","2020W18","Under 20 years","Both sexes","Number","5064"
"Persons on the Live Register","2020W18","Under 20 years","Male","Number","2813"
"Persons on the Live Register","2020W18","Under 20 years","Female","Number","2251"
"Persons on the Live Register","2020W18","20 - 24 years","Both sexes","Number","20534"
"Persons on the Live Register","2020W18","20 - 24 years","Male","Number","11468"
"Persons on the Live Register","2020W18","20 - 24 years","Female","Number","9066"
"Persons on the Live Register","2020W18","25 - 34 years","Both sexes","Number","53079"
"Persons on the Live Register","2020W18","25 - 34 years","Male","Number","30644"
"Persons on the Live Register","2020W18","25 - 34 years","Female","Number","22435"
"Persons on the Live Register","2020W18","35 - 44 years","Both sexes","Number","49863"
"Persons on the Live Register","2020W18","35 - 44 years","Male","Number","28335"
"Persons on the Live Register","2020W18","35 - 44 years","Female","Number","21528"
"Persons on the Live Register","2020W18","45 - 54 years","Both sexes","Number","42319"
"Persons on the Live Register","2020W18","45 - 54 years","Male","Number","23276"
"Persons on the Live Register","2020W18","45 - 54 years","Female","Number","19043"
"Persons on the Live Register","2020W18","55 - 59 years","Both sexes","Number","19351"
"Persons on the Live Register","2020W18","55 - 59 years","Male","Number","10192"
"Persons on the Live Register","2020W18","55 - 59 years","Female","Number","9159"
"Persons on the Live Register","2020W18","60 years and over","Both sexes","Number","24531"
"Persons on the Live Register","2020W18","60 years and over","Male","Number","12504"
"Persons on the Live Register","2020W18","60 years and over","Female","Number","12027"
"Persons on the Live Register","2020W18","All ages","Both sexes","Number","214741"
"Persons on the Live Register","2020W18","All ages","Male","Number","119232"
"Persons on the Live Register","2020W18","All ages","Female","Number","95509"
"Persons on the Live Register","2020W19","Under 20 years","Both sexes","Number","5087"
"Persons on the Live Register","2020W19","Under 20 years","Male","Number","2821"
"Persons on the Live Register","2020W19","Under 20 years","Female","Number","2266"
"Persons on the Live Register","2020W19","20 - 24 years","Both sexes","Number","20654"
"Persons on the Live Register","2020W19","20 - 24 years","Male","Number","11534"
"Persons on the Live Register","2020W19","20 - 24 years","Female","Number","9120"
"Persons on the Live Register","2020W19","25 - 34 years","Both sexes","Number","53246"
"Persons on the Live Register","2020W19","25 - 34 years","Male","Number","30740"
"Persons on the Live Register","2020W19","25 - 34 years","Female","Number","22506"
"Persons on the Live Register","2020W19","35 - 44 years","Both sexes","Number","49882"
"Persons on the Live Register","2020W19","35 - 44 years","Male","Number","28387"
"Persons on the Live Register","2020W19","35 - 44 years","Female","Number","21495"
"Persons on the Live Register","2020W19","45 - 54 years","Both sexes","Number","42277"
"Persons on the Live Register","2020W19","45 - 54 years","Male","Number","23273"
"Persons on the Live Register","2020W19","45 - 54 years","Female","Number","19004"
"Persons on the Live Register","2020W19","55 - 59 years","Both sexes","Number","19361"
"Persons on the Live Register","2020W19","55 - 59 years","Male","Number","10229"
"Persons on the Live Register","2020W19","55 - 59 years","Female","Number","9132"
"Persons on the Live Register","2020W19","60 years and over","Both sexes","Number","24479"
"Persons on the Live Register","2020W19","60 years and over","Male","Number","12471"
"Persons on the Live Register","2020W19","60 years and over","Female","Number","12008"
"Persons on the Live Register","2020W19","All ages","Both sexes","Number","214986"
"Persons on the Live Register","2020W19","All ages","Male","Number","119455"
"Persons on the Live Register","2020W19","All ages","Female","Number","95531"
"Persons on the Live Register","2020W20","Under 20 years","Both sexes","Number","5208"
"Persons on the Live Register","2020W20","Under 20 years","Male","Number","2861"
"Persons on the Live Register","2020W20","Under 20 years","Female","Number","2347"
"Persons on the Live Register","2020W20","20 - 24 years","Both sexes","Number","21735"
"Persons on the Live Register","2020W20","20 - 24 years","Male","Number","12050"
"Persons on the Live Register","2020W20","20 - 24 years","Female","Number","9685"
"Persons on the Live Register","2020W20","25 - 34 years","Both sexes","Number","55605"
"Persons on the Live Register","2020W20","25 - 34 years","Male","Number","31951"
"Persons on the Live Register","2020W20","25 - 34 years","Female","Number","23654"
"Persons on the Live Register","2020W20","35 - 44 years","Both sexes","Number","51062"
"Persons on the Live Register","2020W20","35 - 44 years","Male","Number","29038"
"Persons on the Live Register","2020W20","35 - 44 years","Female","Number","22024"
"Persons on the Live Register","2020W20","45 - 54 years","Both sexes","Number","42785"
"Persons on the Live Register","2020W20","45 - 54 years","Male","Number","23557"
"Persons on the Live Register","2020W20","45 - 54 years","Female","Number","19228"
"Persons on the Live Register","2020W20","55 - 59 years","Both sexes","Number","19455"
"Persons on the Live Register","2020W20","55 - 59 years","Male","Number","10286"
"Persons on the Live Register","2020W20","55 - 59 years","Female","Number","9169"
"Persons on the Live Register","2020W20","60 years and over","Both sexes","Number","24534"
"Persons on the Live Register","2020W20","60 years and over","Male","Number","12496"
"Persons on the Live Register","2020W20","60 years and over","Female","Number","12038"
"Persons on the Live Register","2020W20","All ages","Both sexes","Number","220384"
"Persons on the Live Register","2020W20","All ages","Male","Number","122239"
"Persons on the Live Register","2020W20","All ages","Female","Number","98145"
"Persons on the Live Register","2020W21","Under 20 years","Both sexes","Number","5254"
"Persons on the Live Register","2020W21","Under 20 years","Male","Number","2870"
"Persons on the Live Register","2020W21","Under 20 years","Female","Number","2384"
"Persons on the Live Register","2020W21","20 - 24 years","Both sexes","Number","22591"
"Persons on the Live Register","2020W21","20 - 24 years","Male","Number","12481"
"Persons on the Live Register","2020W21","20 - 24 years","Female","Number","10110"
"Persons on the Live Register","2020W21","25 - 34 years","Both sexes","Number","56557"
"Persons on the Live Register","2020W21","25 - 34 years","Male","Number","32442"
"Persons on the Live Register","2020W21","25 - 34 years","Female","Number","24115"
"Persons on the Live Register","2020W21","35 - 44 years","Both sexes","Number","51250"
"Persons on the Live Register","2020W21","35 - 44 years","Male","Number","29195"
"Persons on the Live Register","2020W21","35 - 44 years","Female","Number","22055"
"Persons on the Live Register","2020W21","45 - 54 years","Both sexes","Number","42887"
"Persons on the Live Register","2020W21","45 - 54 years","Male","Number","23622"
"Persons on the Live Register","2020W21","45 - 54 years","Female","Number","19265"
"Persons on the Live Register","2020W21","55 - 59 years","Both sexes","Number","19456"
"Persons on the Live Register","2020W21","55 - 59 years","Male","Number","10283"
"Persons on the Live Register","2020W21","55 - 59 years","Female","Number","9173"
"Persons on the Live Register","2020W21","60 years and over","Both sexes","Number","24463"
"Persons on the Live Register","2020W21","60 years and over","Male","Number","12448"
"Persons on the Live Register","2020W21","60 years and over","Female","Number","12015"
"Persons on the Live Register","2020W21","All ages","Both sexes","Number","222458"
"Persons on the Live Register","2020W21","All ages","Male","Number","123341"
"Persons on the Live Register","2020W21","All ages","Female","Number","99117"
"Persons on the Live Register","2020W22","Under 20 years","Both sexes","Number","5676"
"Persons on the Live Register","2020W22","Under 20 years","Male","Number","3078"
"Persons on the Live Register","2020W22","Under 20 years","Female","Number","2598"
"Persons on the Live Register","2020W22","20 - 24 years","Both sexes","Number","23941"
"Persons on the Live Register","2020W22","20 - 24 years","Male","Number","13200"
"Persons on the Live Register","2020W22","20 - 24 years","Female","Number","10741"
"Persons on the Live Register","2020W22","25 - 34 years","Both sexes","Number","57444"
"Persons on the Live Register","2020W22","25 - 34 years","Male","Number","32899"
"Persons on the Live Register","2020W22","25 - 34 years","Female","Number","24545"
"Persons on the Live Register","2020W22","35 - 44 years","Both sexes","Number","51582"
"Persons on the Live Register","2020W22","35 - 44 years","Male","Number","29325"
"Persons on the Live Register","2020W22","35 - 44 years","Female","Number","22257"
"Persons on the Live Register","2020W22","45 - 54 years","Both sexes","Number","43131"
"Persons on the Live Register","2020W22","45 - 54 years","Male","Number","23748"
"Persons on the Live Register","2020W22","45 - 54 years","Female","Number","19383"
"Persons on the Live Register","2020W22","55 - 59 years","Both sexes","Number","19460"
"Persons on the Live Register","2020W22","55 - 59 years","Male","Number","10279"
"Persons on the Live Register","2020W22","55 - 59 years","Female","Number","9181"
"Persons on the Live Register","2020W22","60 years and over","Both sexes","Number","24428"
"Persons on the Live Register","2020W22","60 years and over","Male","Number","12431"
"Persons on the Live Register","2020W22","60 years and over","Female","Number","11997"
"Persons on the Live Register","2020W22","All ages","Both sexes","Number","225662"
"Persons on the Live Register","2020W22","All ages","Male","Number","124960"
"Persons on the Live Register","2020W22","All ages","Female","Number","100702"
"Persons on the Live Register","2020W23","Under 20 years","Both sexes","Number","5822"
"Persons on the Live Register","2020W23","Under 20 years","Male","Number","3157"
"Persons on the Live Register","2020W23","Under 20 years","Female","Number","2665"
"Persons on the Live Register","2020W23","20 - 24 years","Both sexes","Number","24712"
"Persons on the Live Register","2020W23","20 - 24 years","Male","Number","13520"
"Persons on the Live Register","2020W23","20 - 24 years","Female","Number","11192"
"Persons on the Live Register","2020W23","25 - 34 years","Both sexes","Number","58917"
"Persons on the Live Register","2020W23","25 - 34 years","Male","Number","33580"
"Persons on the Live Register","2020W23","25 - 34 years","Female","Number","25337"
"Persons on the Live Register","2020W23","35 - 44 years","Both sexes","Number","53111"
"Persons on the Live Register","2020W23","35 - 44 years","Male","Number","30112"
"Persons on the Live Register","2020W23","35 - 44 years","Female","Number","22999"
"Persons on the Live Register","2020W23","45 - 54 years","Both sexes","Number","44037"
"Persons on the Live Register","2020W23","45 - 54 years","Male","Number","24167"
"Persons on the Live Register","2020W23","45 - 54 years","Female","Number","19870"
"Persons on the Live Register","2020W23","55 - 59 years","Both sexes","Number","19678"
"Persons on the Live Register","2020W23","55 - 59 years","Male","Number","10382"
"Persons on the Live Register","2020W23","55 - 59 years","Female","Number","9296"
"Persons on the Live Register","2020W23","60 years and over","Both sexes","Number","24545"
"Persons on the Live Register","2020W23","60 years and over","Male","Number","12457"
"Persons on the Live Register","2020W23","60 years and over","Female","Number","12088"
"Persons on the Live Register","2020W23","All ages","Both sexes","Number","230822"
"Persons on the Live Register","2020W23","All ages","Male","Number","127375"
"Persons on the Live Register","2020W23","All ages","Female","Number","103447"
"Persons on the Live Register","2020W24","Under 20 years","Both sexes","Number","5849"
"Persons on the Live Register","2020W24","Under 20 years","Male","Number","3181"
"Persons on the Live Register","2020W24","Under 20 years","Female","Number","2668"
"Persons on the Live Register","2020W24","20 - 24 years","Both sexes","Number","23422"
"Persons on the Live Register","2020W24","20 - 24 years","Male","Number","13056"
"Persons on the Live Register","2020W24","20 - 24 years","Female","Number","10366"
"Persons on the Live Register","2020W24","25 - 34 years","Both sexes","Number","55679"
"Persons on the Live Register","2020W24","25 - 34 years","Male","Number","31821"
"Persons on the Live Register","2020W24","25 - 34 years","Female","Number","23858"
"Persons on the Live Register","2020W24","35 - 44 years","Both sexes","Number","52572"
"Persons on the Live Register","2020W24","35 - 44 years","Male","Number","29620"
"Persons on the Live Register","2020W24","35 - 44 years","Female","Number","22952"
"Persons on the Live Register","2020W24","45 - 54 years","Both sexes","Number","44134"
"Persons on the Live Register","2020W24","45 - 54 years","Male","Number","24110"
"Persons on the Live Register","2020W24","45 - 54 years","Female","Number","20024"
"Persons on the Live Register","2020W24","55 - 59 years","Both sexes","Number","19764"
"Persons on the Live Register","2020W24","55 - 59 years","Male","Number","10406"
"Persons on the Live Register","2020W24","55 - 59 years","Female","Number","9358"
"Persons on the Live Register","2020W24","60 years and over","Both sexes","Number","24676"
"Persons on the Live Register","2020W24","60 years and over","Male","Number","12489"
"Persons on the Live Register","2020W24","60 years and over","Female","Number","12187"
"Persons on the Live Register","2020W24","All ages","Both sexes","Number","226096"
"Persons on the Live Register","2020W24","All ages","Male","Number","124683"
"Persons on the Live Register","2020W24","All ages","Female","Number","101413"
"Persons on the Live Register","2020W25","Under 20 years","Both sexes","Number","5826"
"Persons on the Live Register","2020W25","Under 20 years","Male","Number","3147"
"Persons on the Live Register","2020W25","Under 20 years","Female","Number","2679"
"Persons on the Live Register","2020W25","20 - 24 years","Both sexes","Number","23388"
"Persons on the Live Register","2020W25","20 - 24 years","Male","Number","13053"
"Persons on the Live Register","2020W25","20 - 24 years","Female","Number","10335"
"Persons on the Live Register","2020W25","25 - 34 years","Both sexes","Number","53916"
"Persons on the Live Register","2020W25","25 - 34 years","Male","Number","30997"
"Persons on the Live Register","2020W25","25 - 34 years","Female","Number","22919"
"Persons on the Live Register","2020W25","35 - 44 years","Both sexes","Number","50857"
"Persons on the Live Register","2020W25","35 - 44 years","Male","Number","28618"
"Persons on the Live Register","2020W25","35 - 44 years","Female","Number","22239"
"Persons on the Live Register","2020W25","45 - 54 years","Both sexes","Number","43041"
"Persons on the Live Register","2020W25","45 - 54 years","Male","Number","23453"
"Persons on the Live Register","2020W25","45 - 54 years","Female","Number","19588"
"Persons on the Live Register","2020W25","55 - 59 years","Both sexes","Number","19449"
"Persons on the Live Register","2020W25","55 - 59 years","Male","Number","10165"
"Persons on the Live Register","2020W25","55 - 59 years","Female","Number","9284"
"Persons on the Live Register","2020W25","60 years and over","Both sexes","Number","24344"
"Persons on the Live Register","2020W25","60 years and over","Male","Number","12240"
"Persons on the Live Register","2020W25","60 years and over","Female","Number","12104"
"Persons on the Live Register","2020W25","All ages","Both sexes","Number","220821"
"Persons on the Live Register","2020W25","All ages","Male","Number","121673"
"Persons on the Live Register","2020W25","All ages","Female","Number","99148"
"Persons on the Live Register","2020W26","Under 20 years","Both sexes","Number","5844"
"Persons on the Live Register","2020W26","Under 20 years","Male","Number","3162"
"Persons on the Live Register","2020W26","Under 20 years","Female","Number","2682"
"Persons on the Live Register","2020W26","20 - 24 years","Both sexes","Number","23735"
"Persons on the Live Register","2020W26","20 - 24 years","Male","Number","13181"
"Persons on the Live Register","2020W26","20 - 24 years","Female","Number","10554"
"Persons on the Live Register","2020W26","25 - 34 years","Both sexes","Number","53922"
"Persons on the Live Register","2020W26","25 - 34 years","Male","Number","30901"
"Persons on the Live Register","2020W26","25 - 34 years","Female","Number","23021"
"Persons on the Live Register","2020W26","35 - 44 years","Both sexes","Number","50452"
"Persons on the Live Register","2020W26","35 - 44 years","Male","Number","28266"
"Persons on the Live Register","2020W26","35 - 44 years","Female","Number","22186"
"Persons on the Live Register","2020W26","45 - 54 years","Both sexes","Number","43007"
"Persons on the Live Register","2020W26","45 - 54 years","Male","Number","23282"
"Persons on the Live Register","2020W26","45 - 54 years","Female","Number","19725"
"Persons on the Live Register","2020W26","55 - 59 years","Both sexes","Number","19529"
"Persons on the Live Register","2020W26","55 - 59 years","Male","Number","10100"
"Persons on the Live Register","2020W26","55 - 59 years","Female","Number","9429"
"Persons on the Live Register","2020W26","60 years and over","Both sexes","Number","24382"
"Persons on the Live Register","2020W26","60 years and over","Male","Number","12216"
"Persons on the Live Register","2020W26","60 years and over","Female","Number","12166"
"Persons on the Live Register","2020W26","All ages","Both sexes","Number","220871"
"Persons on the Live Register","2020W26","All ages","Male","Number","121108"
"Persons on the Live Register","2020W26","All ages","Female","Number","99763"
"Persons on the Live Register","2020W27","Under 20 years","Both sexes","Number","5909"
"Persons on the Live Register","2020W27","Under 20 years","Male","Number","3197"
"Persons on the Live Register","2020W27","Under 20 years","Female","Number","2712"
"Persons on the Live Register","2020W27","20 - 24 years","Both sexes","Number","24059"
"Persons on the Live Register","2020W27","20 - 24 years","Male","Number","13283"
"Persons on the Live Register","2020W27","20 - 24 years","Female","Number","10776"
"Persons on the Live Register","2020W27","25 - 34 years","Both sexes","Number","54576"
"Persons on the Live Register","2020W27","25 - 34 years","Male","Number","30949"
"Persons on the Live Register","2020W27","25 - 34 years","Female","Number","23627"
"Persons on the Live Register","2020W27","35 - 44 years","Both sexes","Number","50988"
"Persons on the Live Register","2020W27","35 - 44 years","Male","Number","28142"
"Persons on the Live Register","2020W27","35 - 44 years","Female","Number","22846"
"Persons on the Live Register","2020W27","45 - 54 years","Both sexes","Number","44051"
"Persons on the Live Register","2020W27","45 - 54 years","Male","Number","23250"
"Persons on the Live Register","2020W27","45 - 54 years","Female","Number","20801"
"Persons on the Live Register","2020W27","55 - 59 years","Both sexes","Number","20207"
"Persons on the Live Register","2020W27","55 - 59 years","Male","Number","10166"
"Persons on the Live Register","2020W27","55 - 59 years","Female","Number","10041"
"Persons on the Live Register","2020W27","60 years and over","Both sexes","Number","24861"
"Persons on the Live Register","2020W27","60 years and over","Male","Number","12308"
"Persons on the Live Register","2020W27","60 years and over","Female","Number","12553"
"Persons on the Live Register","2020W27","All ages","Both sexes","Number","224651"
"Persons on the Live Register","2020W27","All ages","Male","Number","121295"
"Persons on the Live Register","2020W27","All ages","Female","Number","103356"
"Persons on the Live Register","2020W28","Under 20 years","Both sexes","Number","6121"
"Persons on the Live Register","2020W28","Under 20 years","Male","Number","3271"
"Persons on the Live Register","2020W28","Under 20 years","Female","Number","2850"
"Persons on the Live Register","2020W28","20 - 24 years","Both sexes","Number","24666"
"Persons on the Live Register","2020W28","20 - 24 years","Male","Number","13554"
"Persons on the Live Register","2020W28","20 - 24 years","Female","Number","11112"
"Persons on the Live Register","2020W28","25 - 34 years","Both sexes","Number","55551"
"Persons on the Live Register","2020W28","25 - 34 years","Male","Number","31268"
"Persons on the Live Register","2020W28","25 - 34 years","Female","Number","24283"
"Persons on the Live Register","2020W28","35 - 44 years","Both sexes","Number","51758"
"Persons on the Live Register","2020W28","35 - 44 years","Male","Number","28298"
"Persons on the Live Register","2020W28","35 - 44 years","Female","Number","23460"
"Persons on the Live Register","2020W28","45 - 54 years","Both sexes","Number","44851"
"Persons on the Live Register","2020W28","45 - 54 years","Male","Number","23469"
"Persons on the Live Register","2020W28","45 - 54 years","Female","Number","21382"
"Persons on the Live Register","2020W28","55 - 59 years","Both sexes","Number","20489"
"Persons on the Live Register","2020W28","55 - 59 years","Male","Number","10189"
"Persons on the Live Register","2020W28","55 - 59 years","Female","Number","10300"
"Persons on the Live Register","2020W28","60 years and over","Both sexes","Number","25081"
"Persons on the Live Register","2020W28","60 years and over","Male","Number","12350"
"Persons on the Live Register","2020W28","60 years and over","Female","Number","12731"
"Persons on the Live Register","2020W28","All ages","Both sexes","Number","228517"
"Persons on the Live Register","2020W28","All ages","Male","Number","122399"
"Persons on the Live Register","2020W28","All ages","Female","Number","106118"
